2:41:14 PM Monday, September 19, 2011
46V at stage
stage sn = 2502


10C to 160C test1


41,57.0
42,55.7
43,54.1
44,52.9
45,51.7
46,50.5
47,49.3
48,48.0
49,46.9
50,45.8
51,44.8
52,43.7
53,42.6
54,41.6
55,40.5
56,39.7
57,38.7
58,37.8
59,36.9
60,36.1
61,35.3
62,34.4
63,33.6
64,32.8
65,32.1
66,31.2
67,30.5
68,29.9
69,29.2
70,28.6
71,27.8
72,27.2
73,26.6
74,26.1
75,25.5
76,24.8
77,24.3
78,23.8
79,23.3
80,22.7
81,22.2
82,21.7
83,21.3
84,20.8
85,20.3
86,19.9
87,19.5
88,19.1
89,18.6
90,18.2
91,17.9
92,17.5
93,17.1
94,16.7
95,16.4
96,16.1
97,15.7
98,15.4
99,15.1
100,14.8
101,14.5
102,14.2
103,13.9
104,13.6
105,13.4
106,13.1
107,12.9
108,12.6
109,12.4
110,12.2
111,11.9
112,11.7
113,11.5
114,11.3
115,11.1
116,10.9
117,10.7
118,10.5
119,10.4
120,10.2
121,10.1
122,9.9
123,9.8
124,9.8
125,9.7
126,9.7
127,9.6
128,9.6
129,9.6
130,9.6
131,9.6
132,9.6
133,9.6
134,9.7
135,9.7
136,9.7
137,9.7
138,9.8
139,9.8
140,9.8
141,9.8
142,9.9
143,9.9
144,10.0
